,titulo,resumo,sessao,data,portal,link,sentiment,proba_positiva,proba_negativa
20,Cacique da maior tribo indígena do RJ morre com Covid,Domingos Venite tinha 68 anos. Aldeia em Angra dos Reis tem outros 88 infectados., Sul do Rio e Costa Verde ,2020-07-21 10:31:27.833914,G1,https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/2020/07/21/cacique-de-aldeia-em-angra-dos-reis-morre-vitima-do-coronavirus.ghtml,1,0.8234200168360171,0.17657998316398293
21,Grupo invade aeroporto no RJ atrás de balão e troca tiros com a polícia,2 foram presos; balão era disputado por grupos que ofereciam até recompensa pelo resgate., Rio de Janeiro ,2020-07-21 15:31:27.834465,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/07/21/policia-prende-homens-suspeitos-de-invadir-o-aeroporto-internacional-do-galeao-atras-de-um-balao-de-18-metros.ghtml,1,0.8495412438232033,0.15045875617679672
22,Argentina detecta nova nuvem de gafanhotos no norte do país,Insetos estão perto do Paraguai; a outra onda está perto da fronteira com o Brasil., Agronegócios ,2020-07-21 15:31:27.835008,G1,https://g1.globo.com/economia/agronegocios/noticia/2020/07/21/terceira-nuvem-de-gafanhotos-e-localizada-no-norte-da-argentina.ghtml,1,0.8195773713814157,0.18042262861858427
23,Dono da Amazon vê sua fortuna crescer US$ 13 bi em um dia,Patrimônio de Jeff Bezos passa de R$ 1 trilhão. Veja os 10 maiores bilionários do mundo., Economia ,2020-07-21 10:31:27.835585,G1,https://g1.globo.com/economia/noticia/2020/07/21/dono-da-amazon-aumenta-sua-fortuna-em-us-13-bilhoes-em-um-dia.ghtml,1,0.6335225738658931,0.36647742613410694
24,'Você sabe com quem está falando?' e a cultura da carteirada,"Prática é antiga no Brasil, mas a síndrome da autoridade está em alta no país. Por quê?", O Assunto ,2020-07-21 07:31:27.836125,G1,https://g1.globo.com/podcast/o-assunto/noticia/2020/07/21/o-assunto-235-voce-sabe-com-quem-esta-falando.ghtml,1,0.8495412438232033,0.15045875617679672
25,Prima de médica que caiu de prédio descarta acidente: 'Foi jogada',"Preso e considerado suspeito, companheiro nega ter empurrado a mulher.", Bahia ,2020-07-21 14:31:27.836677,G1,https://g1.globo.com/ba/bahia/noticia/2020/07/21/ela-foi-jogada-diz-prima-de-medica-que-esta-internada-apos-queda-de-predio-em-salvador.ghtml,1,0.5087784781913125,0.4912215218086875
26,Ex-capa da Playboy é presa suspeita de tráfico de drogas,Flávia Tamayo foi detida na recepção de um hotel em Vitória durante a madrugada., Espírito Santo ,2020-07-21 14:31:27.837219,G1,https://g1.globo.com/es/espirito-santo/noticia/2020/07/21/ex-capa-da-playboy-e-presa-no-es-suspeita-de-integrar-rede-de-trafico-de-drogas-no-df.ghtml,1,0.5983730642011168,0.4016269357988832
27,Cearense é encontrada morta com 80 facadas na Itália,Corpo foi encontrado no apartamento onde ela morava; ninguém foi preso., Ceará ,2020-07-21 15:31:27.837763,G1,https://g1.globo.com/ce/ceara/noticia/2020/07/21/transexual-cearense-e-encontrada-morta-com-perfuracoes-no-corpo-em-apartamento-na-italia.ghtml,1,0.7564506938859418,0.24354930611405823
28,Empregado é demitido por justa causa após assédio em festa da empresa,"Homem deu tapa na bunda de colega de trabalho e entrou na Justiça, mas perdeu ação.", Minas Gerais ,2020-07-21 14:31:27.838148,G1,https://g1.globo.com/mg/minas-gerais/noticia/2020/07/21/tapa-no-bumbum-de-colega-de-trabalho-em-festa-de-confraternizacao-leva-a-demissao-por-justa-causa-em-betim.ghtml,1,0.5983730642011168,0.4016269357988832
29,Raoni melhora e pode ter alta até o fim de semana,Líder do povo Kayapó é conhecido internacionalmente pela defesa dos indígenas., Mato Grosso ,2020-07-21 12:31:27.838697,G1,https://g1.globo.com/mt/mato-grosso/noticia/2020/07/21/cacique-raoni-tem-melhora-de-saude-em-mt-e-recebe-visita-de-bispo-em-nome-do-papa-francisco.ghtml,1,0.6196554598757473,0.3803445401242527
30,9 estados e DF pretendem reabrir escolas estaduais até setembro,Câmara de SP discute hoje aprovação automática de alunos da rede municipal, Educação ,2020-07-21 05:31:27.839328,G1,https://g1.globo.com/educacao/noticia/2020/07/21/oito-estados-e-o-df-tem-previsao-de-retomada-das-aulas-presenciais-na-rede-publica-estadual-ate-setembro.ghtml,1,0.5983730642011168,0.4016269357988832
31,Curitiba libera academias e volta a proibir supermercados aos domingos,Ocupação de leitos do SUS para Covid segue acima de 90% na cidade, Paraná ,2020-07-21 14:31:27.839949,G1,https://g1.globo.com/pr/parana/noticia/2020/07/21/coronavirus-prefeitura-de-curitiba-libera-funcionamento-de-academias-em-novo-decreto.ghtml,1,0.5983730642011168,0.4016269357988832
32,Como será a volta dos cinemas? Vale a pena reabrir agora?,Redes e donos de salas de exibição de Rio e SP se preparam para retomada em agosto., Cinema ,2020-07-21 06:31:27.840500,G1,https://g1.globo.com/pop-arte/cinema/noticia/2020/07/21/cinemas-de-volta-como-as-sessoes-e-salas-vao-se-adaptar-para-a-reabertura.ghtml,1,0.5983730642011168,0.4016269357988832
33,"Crise ameaça reverter ganhos da mulher no mercado de trabalho, diz FMI",Elas têm menos acesso ao teletrabalho e sofrem com informalidade., Economia ,2020-07-21 11:31:27.841041,G1,https://g1.globo.com/economia/noticia/2020/07/21/coronavirus-crise-ameaca-reverter-ganhos-das-mulheres-no-mercado-de-trabalho-diz-fmi.ghtml,0,0.024294612890651737,0.9757053871093483
34,BC destina 80% de nova linha de crédito emergencial para pequenas empresas,Dificuldade para conseguir empréstimos é uma das principais reclamações de empresários., Economia ,2020-07-21 10:31:27.841594,G1,https://g1.globo.com/economia/noticia/2020/07/21/em-nova-linha-de-credito-emergencial-de-r-120-bi-80percent-irao-para-empresas-menores-diz-bc.ghtml,1,0.5530202662075272,0.4469797337924728
35,Lamborghini lança Aventador SVJ Xago com só 10 unidades e venda pela internet,Mustang elétrico ganha conceito com 7 motores e 1.419 cavalos, Auto Esporte ,2020-07-21 14:31:27.842216,G1,https://g1.globo.com/carros/noticia/2020/07/21/lamborghini-vendera-so-pela-internet-edicao-limitada-de-10-unidades-do-aventador-svj-xago.ghtml,1,0.8943576072896257,0.10564239271037434
36,Cão morre ao tentar defender dona de ataque de abelhas no DF: 'Um herói',Animal sofreu mais de 200 picadas. Luana e mãe receberam medicamentos antialérgicos., Distrito Federal ,2020-07-21 12:31:27.842792,G1,https://g1.globo.com/df/distrito-federal/noticia/2020/07/21/abelhas-atacam-familia-no-parque-da-cidade-em-brasilia-cachorro-morre-ao-tentar-defender-dona.ghtml,1,0.5983730642011168,0.4016269357988832
37,Adolescente que matou amiga com tiro acidental depõe,"Arma era do pai do namorado. Vítima é Isabele Guimarães (foto), de 14 anos. ", Mato Grosso ,2020-07-21 11:31:27.843386,G1,https://g1.globo.com/mt/mato-grosso/noticia/2020/07/21/adolescente-que-matou-amiga-de-14-anos-com-tiro-acidental-depoe-na-delegacia-em-cuiaba.ghtml,1,0.8495412438232033,0.15045875617679672
38,Americano perde emprego por fazer sinal confundido com gesto racista,Emmanuel Cafferty foi fotografado e exposto nas redes sociais., Mundo ,2020-07-21 12:31:27.843937,G1,https://g1.globo.com/mundo/noticia/2020/07/21/o-sinal-de-ok-que-levou-homem-a-perder-emprego-e-o-que-sua-historia-diz-sobre-a-cultura-do-cancelamento.ghtml,1,0.8141658374962185,0.18583416250378149
39,Líderes europeus aprovam fundo histórico para a economia pós-pandemia,"União Europeia vai emitir € 750 bilhões (mais de R$ 4,5 trilhões) em títulos conjuntos da dívida.", Economia ,2020-07-21 01:31:27.844652,G1,https://g1.globo.com/economia/noticia/2020/07/21/apos-quatro-dias-de-reunioes-lideres-europeus-aprovam-fundo-de-reconstrucao-historico.ghtml,1,0.5983730642011168,0.4016269357988832
40,"SANDRA COHEN: Republicanos se reúnem para apoiar Biden, não Trump","Em queda nas pesquisas, Trump passa a defender uso de máscaras", Blog da Sandra Cohen  ,2020-07-20 22:31:27.845307,G1,https://g1.globo.com/mundo/blog/sandra-cohen/post/2020/07/21/republicanos-arrependidos-contra-trump.ghtml,1,0.5983730642011168,0.4016269357988832
41,Kanye West diz que Kim Kardashian quer interná-lo,Fãs mostraram preocupação com o cantor e compararam com Amy Winehouse e Britney Spears., Pop & Arte ,2020-07-21 09:31:27.845871,G1,https://g1.globo.com/pop-arte/noticia/2020/07/21/kanye-west-diz-que-kim-kardashian-quer-interna-lo-e-fas-comparam-situacao-de-cantor-com-a-de-amy-winehouse.ghtml,0,0.28297764095792144,0.7170223590420786
42,Estilista se prende em gaiola em ato contra extradição de Assange,"Vivienne Westwood protestou na frente da Corte Criminal Central, em Londres. ", Pop & Arte ,2020-07-21 11:31:27.846420,G1,https://g1.globo.com/pop-arte/noticia/2020/07/21/vivienne-westwood-se-prende-em-gaiola-para-protestar-contra-extradicao-de-julian-assange.ghtml,1,0.5949299885877427,0.4050700114122573
43,'Grey's anatomy' mostrará batalha de médicos contra o coronavírus,Roteiristas lidam com desafio de manter humor e retratar drama da pandemia., Pop & Arte ,2020-07-21 10:31:27.846955,G1,https://g1.globo.com/pop-arte/noticia/2020/07/21/greys-anatomy-mostrara-medicos-lidando-com-pandemia-do-coronavirus-em-17a-temporada.ghtml,1,0.5983730642011168,0.4016269357988832
44,"Fã de açaí, menina de 6 anos ganha festa inspirada no fruto","Aniversário teve paneiro, cesto de palha e muito roxo e foi acompanhado à distância pelos amigos. ", Amapá ,2020-07-21 15:31:27.847511,G1,https://g1.globo.com/ap/amapa/noticia/2020/07/21/batedeira-de-acai-vira-tema-de-aniversario-de-menina-de-6-anos-em-macapa.ghtml,1,0.5983730642011168,0.4016269357988832
45,As últimas notícias e descobertas sobre a pandemia,,,2020-07-21 05:31:27.847993,G1,https://g1.globo.com/bemestar/coronavirus/,1,0.5983730642011168,0.4016269357988832
46,"Casos de reinfecção do coronavírus são isolados, diz especialista",Cientista Natalia Pasternak explica por que não é possível afirmar se dá para pegar Covid duas vezes., Agora é Assim? ,2020-07-21 07:31:27.848688,G1,https://g1.globo.com/agora-e-assim/noticia/2020/07/21/agora-e-assim-casos-de-reinfeccao-do-novo-coronavirus-sao-isolados-diz-especialista.ghtml,0,0.2845070864901501,0.7154929135098499
47,"Morre David do Pandeiro, intérprete do carnaval carioca","Ele passou por várias escolas, como Mocidade, Viradouro, Mangueira e Grande Rio.", Rio de Janeiro ,2020-07-21 11:31:27.849234,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/07/21/morre-david-do-pandeiro-interprete-do-carnaval-carioca.ghtml,1,0.8195773713814157,0.18042262861858427
48,PF fará perícia em helicóptero que caiu com 300 kg de cocaína,Piloto fugiu por matagal em Ibiúna (SP) e não foi localizado., Sorocaba e Jundiaí ,2020-07-21 09:31:27.849777,G1,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/07/21/policia-vai-periciar-helicoptero-que-transportava-cocaina-video-mostra-queda-da-aeronave.ghtml,1,0.6878285831254157,0.3121714168745843
49,Pequenas empresas do comércio são as mais afetadas pela crise,Estudo da FGV aponta que pequenos empresários também são os que mais sofrem para se recuperar., Economia ,2020-07-21 05:31:27.850329,G1,https://g1.globo.com/economia/noticia/2020/07/21/pequenas-empresas-do-comercio-sao-as-mais-afetadas-pela-crise-e-tem-recuperacao-lenta.ghtml,1,0.8195773713814157,0.18042262861858427
50,Recrutadores valorizam mais as habilidades comportamentais na pandemia; veja quais,Adaptabilidade e resiliência são competências valorizadas neste momento de crise., Concursos e Emprego ,2020-07-21 08:31:27.850823,G1,https://g1.globo.com/economia/concursos-e-emprego/noticia/2020/07/21/na-busca-de-emprego-na-pandemia-recrutadores-valorizam-mais-as-habilidades-comportamentais-veja-quais.ghtml,1,0.5983730642011168,0.4016269357988832
51,"Com pandemia, Brasil dobra exportações de frutas ricas em vitamina C","É #FAKE que mistura de laranja, limão e melão cure a Covid-19", Agronegócios ,2020-07-21 00:31:27.851444,G1,https://g1.globo.com/economia/agronegocios/noticia/2020/07/20/pandemia-faz-brasil-dobrar-exportacoes-de-frutas-ricas-em-vitamina-c-no-primeiro-semestre-diz-cna.ghtml,1,0.5983730642011168,0.4016269357988832
52,Ministério da Economia detalha proposta de reforma tributária,Parte entregue hoje prevê apenas unificação de PIS e Cofins. Outras mudanças ficarão para 'segunda fase'., Economia ,,G1,https://g1.globo.com/economia/ao-vivo/ministerio-da-economia-detalha-proposta-de-reforma-tributaria.ghtml,1,0.5983730642011168,0.4016269357988832
53,Família do RJ entra com recurso para adiar eutanásia de égua prenha até nascimento do potro,"Animal, que ganhou o nome de Flor, é portador de anemia infecciosa equina e vive em um sítio em Nova Friburgo, na Região Serrana do Rio de Janeiro. OAB-RJ entrou no caso.", Rio de Janeiro ,2020-07-21 17:23:27.852600,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/07/21/familia-do-rj-entra-com-recurso-para-adiar-eutanasia-de-egua-prenha-ate-nascimento-do-potro.ghtml,1,0.8780020019784315,0.12199799802156852
54,Fabricantes divergem sobre cobrar preço de custo por vacina de coronavírus nos EUA,"Em audiência no Congresso, representantes de dois laboratórios se comprometeram a não ter lucros imediatos, mas outros dois disseram que isso não será possível. Empresas acreditam em vacinas seguras e efetivas no começo de 2021.", Vacina ,2020-07-21 17:18:27.853089,G1,https://g1.globo.com/bemestar/vacina/noticia/2020/07/21/fabricantes-divergem-sobre-cobrar-preco-de-custo-por-vacina-de-coronavirus-nos-eua.ghtml,1,0.5983730642011168,0.4016269357988832
55,"David do Pandeiro, uma voz do Carnaval que se cala aos 61 anos",Morte do intérprete de samba-enredo enluta as agremiações do Rio de Janeiro., Blog do Mauro Ferreira ,2020-07-21 17:12:27.853591,G1,https://g1.globo.com/pop-arte/musica/blog/mauro-ferreira/post/2020/07/21/david-do-pandeiro-uma-voz-do-carnaval-que-se-cala-aos-61-anos.ghtml,1,0.7772388658027405,0.2227611341972595
56,"Kanye West candidato à Casa Branca: loucura, golpe publicitário ou desejo de incomodar?","Em lançamento de campanha presidencial, rapper chorou ao falar sobre aborto e criticou a abolicionista Harriet Tubman.", Música ,2020-07-21 17:04:27.854226,G1,https://g1.globo.com/pop-arte/musica/noticia/2020/07/21/kanye-west-candidato-a-casa-branca-loucura-golpe-publicitario-ou-desejo-de-incomodar.ghtml,1,0.5983730642011168,0.4016269357988832
57,É #FAKE que alto nível de vitamina D no organismo reduza a quase zero a chance de morte pela Covid,"Mensagem falsa afirma que vitamina deve ser suplementada; esta recomendação não existe, segundo especialistas.", Fato ou Fake ,2020-07-21 17:02:27.854866,G1,https://g1.globo.com/fato-ou-fake/noticia/2020/07/21/e-fake-que-alto-nivel-de-vitamina-d-no-organismo-reduza-a-quase-zero-a-chance-de-morte-pela-covid-19.ghtml,1,0.5983730642011168,0.4016269357988832
58,'Parecia que eu estava morrendo': a ilha onde mulheres são sequestradas para se casarem,"Governo da Indonésia promete acabar com os sequestros de noivas em Sumba, uma remota ilha a leste de Bali, depois que casos foram filmados e compartilhados em redes sociais.", Mundo ,2020-07-21 17:01:27.855366,G1,https://g1.globo.com/mundo/noticia/2020/07/21/parecia-que-eu-estava-morrendo-a-ilha-onde-mulheres-sao-sequestradas-para-se-casarem.ghtml,1,0.5983730642011168,0.4016269357988832
59,Sequestro de ônibus na Ucrânia dura mais de 12 horas; criminoso se rende,"Todos os reféns foram libertados sem ferimentos, dizem autoridades ucranianas. Sequestrador exigia que o presidente mostrasse um vídeo nas redes sociais. ", Mundo ,2020-07-21 16:50:27.855854,G1,https://g1.globo.com/mundo/noticia/2020/07/21/sequestro-de-onibus-na-ucrania-dura-mais-de-12-horas-criminoso-se-rende.ghtml,1,0.5441912727591302,0.45580872724086985
60,Agências dos Correios no Rio têm problemas com clientes e funcionários durante pandemia,Consumidores estão insatisfeitos com demora para entrega dos produtos e funcionários reclamam de salários atrasados e condições  de trabalho ruins., Rio de Janeiro ,2020-07-21 16:49:27.856551,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/07/21/agencias-dos-correios-no-rio-tem-problemas-com-clientes-e-funcionarios-durante-pandemia.ghtml,1,0.7555493560257135,0.2444506439742865
61,"Ônibus pega fogo no bairro da Lapa, Zona Oeste de São Paulo","Segundo o Corpo de Bombeiros, duas viaturas foram deslocadas para tentar controlar as chamas no cruzamento da rua Jeroaquara com a rua Clélia. Não há registro de vítimas. ", São Paulo ,2020-07-21 16:40:27.857194,G1,https://g1.globo.com/sp/sao-paulo/noticia/2020/07/21/onibus-pega-fogo-no-bairro-da-lapa-zona-oeste-de-sao-paulo.ghtml,1,0.5983730642011168,0.4016269357988832
62,Bayer lança programa para pagar captura de carbono feita por agricultores do Brasil e dos EUA,Gigante da produção de agrotóxicos vai remunerar produtores em dinheiro ou em créditos para a compra de produtos., Agronegócios ,2020-07-21 16:31:27.857691,G1,https://g1.globo.com/economia/agronegocios/noticia/2020/07/21/bayer-lanca-programa-para-pagar-captura-de-carbono-feita-por-agricultores-do-brasil-e-dos-eua.ghtml,1,0.7382382583054113,0.26176174169458866
63,"Com 4,1 mil novos casos, RJ passa dos 145 mil contagiados por Covid","Foram 132 óbitos novos em 24 horas, chegando ao total de quase 12,3 mil. Na média móvel, são 95,5 mortes diárias, com redução de 13,3% -- indicativo de estabilidade. ", Rio de Janeiro ,2020-07-21 16:31:27.858183,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/07/21/com-41-mil-novos-casos-rj-passa-dos-145-mil-contagiados-por-covid.ghtml,1,0.5925057629517582,0.40749423704824184
64,Evento com música eletrônica reúne milhares de pessoas em chácara às margens de rodovia,"Aglomeração foi registrada às margens da rodovia Anhanguera, em São Paulo. Dono do local afirmou que locou espaço para evento de 150 pessoas, mas duas mil pessoas apareceram, o que contraria as regras de isolamento social na pandemia.", Sorocaba e Jundiaí ,2020-07-21 16:31:27.858823,G1,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2020/07/21/evento-com-musica-eletronica-reune-milhares-de-pessoas-em-chacara-as-margens-de-rodovia.ghtml,1,0.8495412438232033,0.15045875617679672
65,'Amor não é turismo': os casais separados pela pandemia no Japão,"Casais vêm impulsionando a hashtag #LoveIsNotTourism ('o amor não é turismo'), mobilização internacional de petições, fóruns de discussões e disparo de e-mails endereçados a autoridades para pedir a flexibilização das regras de restrições de viagem para casais a diversos países", Mundo ,2020-07-21 16:31:27.859348,G1,https://g1.globo.com/mundo/noticia/2020/07/21/amor-nao-e-turismo-os-casais-separados-pela-pandemia-no-japao.ghtml,1,0.5983730642011168,0.4016269357988832
66,Ameaças de extremistas de direita colocam polícia de estado alemão sob suspeita,"Autoridades revelam que ao menos 69 mensagens contra políticos e figuras públicas que se engajam contra a ultradireita foram enviadas. Em três casos, dados foram obtidos em computadores de diferentes delegacias de Hessen.", Mundo ,2020-07-21 16:31:27.859835,G1,https://g1.globo.com/mundo/noticia/2020/07/21/ameacas-de-extremistas-de-direita-colocam-policia-de-estado-alemao-sob-suspeita.ghtml,0,0.37405498498895107,0.6259450150110489
67,Impasse sobre empréstimo a casas de strip-tease revela incerteza de ajuda a pequenas empresas nos EUA,"Governo Trump proibiu a participação de empresas que 'apresentam performances ao vivo de natureza sexual pruriente' em plano de ajuda. Mesmo assim, clubes tentam sobreviver na crise gerada pela Covid-19.", Mundo ,2020-07-21 16:31:27.860551,G1,https://g1.globo.com/mundo/noticia/2020/07/21/impasse-sobre-emprestimo-a-casas-de-strip-tease-revela-incerteza-de-ajuda-a-pequenas-empresas-nos-eua.ghtml,1,0.5983730642011168,0.4016269357988832
68,"Autoescolas retomam atividades no RJ, mas alguns serviços seguem suspensos ",Alunos e empresas enfrentam problemas para matricular novos alunos e marcar provas teóricas e práticas. , Rio de Janeiro ,2020-07-21 16:31:27.861218,G1,https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/07/21/autoescolas-retomam-atividades-no-rj-mas-alguns-servicos-seguem-suspensos.ghtml,1,0.5983730642011168,0.4016269357988832
