,titulo,portal,sentiment
111,"Entre março e abril, coronavírus matou mais que AVC e enfarte no Ceará",Exame,neg
112,Aumento de mortes na Nigéria faz temer expansão da pandemia de coronavírus,Exame,neg
113,"Reino Unido registra 38 mil mortes por coronavírus, pior número da Europa",Exame,neg
114,Pernambuco adota lockdown após mil mortes por coronavírus,Exame,neg
115,"Morre o sambista David Corrêa, aos 82 anos, por coronavírus",Exame,neg
116,Míssil atinge navio de guerra do Irã durante treinamento e deixa 19 mortos,Exame,neg
117,"Síndrome de Kawasaki, ligada à covid-19, mata 3 crianças em Nova York",Exame,neg
118,Covid-19: Congresso decreta luto em dia que Brasil chega a 10 mil mortes,Exame,neg
119,"Mortes por covid-19 no Brasil devem chegar a 28 mil, diz consultoria",Exame,neg
120,"Little Richard, um dos pais do rock ‘n’ roll, morre aos 87 anos",Exame,neg
121,Espanha tem 179 mortes diárias por covid-19 e vai flexibilizar quarentena,Exame,neg
122,"Pandemia de covid-19 no Brasil pode acabar só em novembro, diz estudo",Exame,neg
123,São Paulo deve atingir 11 mil mortes por covid-19 até o fim de maio,Exame,neg
124,"Em live, Gabigol fala sobre morte de massagista do Flamengo",Exame,neg
125,Mortes crescem em Manaus e dados oficiais de covid-19 são questionados,Exame,neg
126,"Aos 90 anos, atriz Daisy Lúcidi morre vítima de coronavírus",Exame,neg
127,Mortes diárias por covid-19 disparam no Brasil e superam Itália e Espanha,Exame,neg
128,São Paulo atinge 3 mil mortes pelo coronavírus e decreta luto oficial,Exame,neg
129,"No 1º dia de bloqueios, isolamento não sobe em SP; taxa fica em 48%",Exame,neg
130,O Brasil será o país com mais mortes diárias por coronavírus?,Exame,neg
131,França registra mais de 25.500 mortes por coronavírus,Exame,neg
132,Como a Grécia conseguiu driblar o coronavírus com 3 medidas vencedoras,Exame,neg
133,Covid-19: Reino Unido supera Itália e tem maior número de mortes da Europa,Exame,neg
134,Coronavírus deixa mais de 250 mil mortos no mundo,Exame,neg
135,"Com covid-19, Itália tem alta de 49,9% no número de mortes em março",Exame,neg
136,Ator Flávio Migliaccio morre aos 85 anos,Exame,neg
137,"Escritor e compositor Aldir Blanc morre aos 73 anos, vítima de covid-19",Exame,neg
138,“Palavras importam”: estudo revela como Bolsonaro prejudicou isolamento,Exame,neg
139,"Morre Gerson, pivô da seleção de basquete que derrotou EUA no Pan de 1987",Exame,neg
140,Paraguai diz que não há mais pacientes na UTI por coronavírus no país,Exame,neg
141,"Morre, aos 80 anos, o curador Germano Celant com coronavírus",Exame,neg
142,Brasil é 2º país com mais novos casos e o 4º em novas mortes em 24 horas,Exame,neg
143,"Com mais de 6 mil altas, Espanha bate recorde de recuperações da covid-19",Exame,neg
144,"Morre o ator indiano Irrfan Khan, de “As Aventuras de Pi”, aos 53 anos",Exame,neg
145,Mortes por covid-19 disparam no Reino Unido; índice na Itália tem queda,Exame,neg
146,Rio constrói milhares de gavetas em dois cemitérios em meio à pandemia,Exame,neg
147,Lula critica falta de respeito de Bolsonaro às vítimas de coronavírus,Exame,neg
148,Covid-19: Bolsonaro se exime e diz que conta das mortes é de governadores,Exame,neg
149,"“E daí?”, diz Bolsonaro após Brasil superar China em mortes por covid-19",Exame,neg
150,"Coronavírus: após “e daí?” de Bolsonaro, Teich é ouvido no Senado",Exame,neg
151,"No Brasil, 97% da pandemia de covid-19 pode terminar em junho, diz estudo",Exame,neg
152,"Top 6? Brasil pode ter 2,5 mil mortos não notificados por coronavírus",Exame,neg
153,Covid-19: Espanha tem menos mortes diárias; Portugal suspenderá quarentena,Exame,neg
154,Reino Unido pode se tornar o país europeu mais atingido pela covid-19,Exame,neg
155,Trump recebeu alertas sobre perigos do coronavírus em janeiro e fevereiro,Exame,neg
156,"Com 667 mortes, Rio começa a colocar vítimas da covid-19 em contêineres",Exame,neg
157,Número de casos de coronavírus no mundo chega a 3 milhões,Exame,neg
158,"Com menor número de mortos em semanas, Europa abranda confinamento",Exame,neg
159,Maranhão chega a 90% de ocupação das UTIs com 112 mortes por covid-19,Exame,neg
160,Quem é a irmã que pode romper o machismo e suceder Kim Jong-Un,Exame,neg
161,Kim Jong-un morreu? O que se sabe sobre o líder da Coreia do Norte,Exame,neg
162,"Hipertensão, obesidade e diabetes trazem maior risco de morte por covid-19",Exame,neg
163,"Com nova alta diária, Espanha supera 22.000 mortos por coronavírus",Exame,neg
164,Zona Oeste concentra mais de um terço das mortes por coronavírus no Rio,Exame,neg
165,"São Paulo deve chegar a 3 mil mortos por covid-19 em 3 de maio, diz saúde",Exame,neg
166,"Com SUS em colapso, Amazonas enterra vítimas da covid-19 em vala coletiva",Exame,neg
167,Mortes por coronavírus aumentam seis vezes em 20 dias em São Paulo,Exame,neg
168,"Gene Deitch, ilustrador de episódios de “Tom e Jerry”, morre aos 95 anos",Exame,neg
169,Casos de coronavírus no Equador dobram a cada semana e já passam de 10 mil,Exame,neg
170,Reino Unido registra menor número de mortes por covid-19 em duas semanas,Exame,neg
171,Espanha: casos confirmados de novo coronavírus ultrapassam 200 mil,Exame,neg
172,Homem mata pelo menos 16 pessoas no maior tiroteio na história do Canadá,Exame,neg
173,Número de mortos por coronavírus nos Estados Unidos ultrapassa 40 mil,Exame,neg
174,Prefeitura acelera abertura de covas em maior cemitério de São Paulo,Exame,neg
175,Espanha registra menor número de mortes em 24 horas de abril,Exame,neg
176,Primeiro-ministro da Espanha pedirá extensão do isolamento até 9 de maio,Exame,neg
177,"Aos 84 anos, morre ex-secretário do Tesouro dos EUA Paul O’Neill",Exame,neg
178,Número de mortos na Espanha por coronavírus supera 20 mil,Exame,neg
179,Mortes por coronavírus no mundo passam de 150.000,Exame,neg
180,China anuncia quase 1.300 mortes por coronavírus não computadas em Wuhan,Exame,neg
181,"Estados Unidos registram quase 4,5 mil mortes por coronavírus em 24 horas",Exame,neg
182,"Mais jovem a morrer no Rio, adolescente foi tratada com cloroquina",Exame,neg
183,"Morre o escritor Luís Sepúlveda, vítima do novo coronavírus",Exame,neg
184,"Mortes por coronavírus subiram 60% na última semana na África, diz OMS",Exame,neg
185,Reino Unido prorroga quarentena por mais três semanas,Exame,neg
186,"Com UTIs lotadas, Ceará projeta 250 mortes por dia em maio",Exame,neg
187,"No RJ, Duque de Caxias tem uma morte a cada cinco doentes",Exame,neg
188,"Rubem Fonseca, o grande incentivador do romance urbano brasileiro",Exame,neg
189,PL propõe auxílio de R$ 600 para mulher vítima de violência doméstica,Exame,neg
190,Morre aos 94 anos o escritor Rubem Fonseca,Exame,neg
191,Itália tem o menor número de novos casos de coronavírus em mais de um mês,Exame,neg
192,"Após revisão, Nova York registra mais de 10 mil mortos por coronavírus",Exame,neg
193,França se torna 4º país a passar o número de 15 mil mortes por coronavírus,Exame,neg
194,PM de São Paulo prende acusado de participar da morte de Dorothy Stang,Exame,neg
195,Número de mortos por coronavírus no Reino Unido pode ser 15% maior,Exame,neg
196,"Em 11 dias, número de infectados por coronavírus salta de 1 para 2 milhões",Exame,neg
197,Governador de NY diz que pior já passou após queda de mortes por covid-19,Exame,neg
198,"Morre Stirling Moss, o “campeão sem coroa” da Fórmula 1",Exame,neg
199,Espanha tem ritmo de mortes menor e afrouxa isolamento contra coronavírus,Exame,neg
200,"Epicentro da pandemia nos EUA, Nova York se aproxima de 10 mil mortos",Exame,neg
201,"Itália tem 431 novas mortes por covid-19, o número mais baixo em 3 semanas",Exame,neg
202,Reino Unido passa de 10 mil mortos pelo novo coronavírus,Exame,neg
203,Coronavírus: EUA têm quase 2 mil mortes e mais de 32 mil casos em 24 horas,Exame,neg
204,"Após baixa, número de novas mortes por coronavírus na Itália volta a subir",Exame,neg
205,Bebê de 4 dias é a vítima mais jovem a morrer por covid-19 no Brasil,Exame,neg
206,Covid-19: Brasil realizou 63 mil testes e projeta chegar a 30 mil por dia,Exame,neg
207,Itália registra queda em número de novos casos e mortes de coronavírus,Exame,neg
208,"Espanha registra 757 mortes por coronavírus em 24h, 2ª alta consecutiva",Exame,neg
209,Irã pede empréstimo de US$ 5 bilhões ao FMI para combater coronavírus,Exame,neg
210,Número de pacientes em terapia intensiva na Itália cai pelo 4º dia seguido,Exame,neg
211,Estado de Nova York tem recorde diário de mortes em crise do coronavírus,Exame,neg
212,Número de mortos no mundo por coronavírus passa de 75.000,Exame,neg
213,França é quarto país a ultrapassar marca de 10 mil mortes por coronavírus,Exame,neg
214,SP registra primeiro caso de coronavírus em recém-nascido,Exame,neg
215,Estados Unidos têm mais de 1.200 mortes por coronavírus em 24 horas,Exame,neg
216,Pesquisadores estimam 41 mil casos de coronavírus no Brasil até o dia 20,Exame,neg
217,Saúde se corrige e diz que primeiro caso por coronavírus ocorreu em março,Exame,neg
218,Novas mortes e casos diários de coronavírus na Itália se estabilizam,Exame,neg
219,Nova York pede ajuda após relatar dia mais mortífero do coronavírus,Exame,neg
220,Mortes por coronavírus no Reino Unido sobem 23% e somam 3.605,Exame,neg
221,Alemanha supera a marca de mil mortos por coronavírus,Exame,neg
222,Coronavírus: Itália registra 760 mortes e 4.668 novos casos em 24 horas,Exame,neg
223,Coronavírus: Espanha supera 10 mil mortes após bater recorde em 24 horas,Exame,neg
224,Coronavírus: governo autoriza sepultamento de corpos sem atestado de óbito,Exame,neg
225,"Chegaremos a 1 milhão de casos e 50 mil mortes nos próximos dias, diz OMS",Exame,neg
226,Deputado Luiz Flávio Gomes morre aos 61 anos em São Paulo,Exame,neg
227,"Com 864 vítimas em 24 horas, Espanha volta a bater recorde de mortes",Exame,neg
228,Governo Trump prevê ao menos 100 mil mortes por coronavírus nos EUA,Exame,neg
229,"Com 3.500 mortes, França já ultrapassa China em vítimas do coronavírus",Exame,neg
230,Número de mortes por coronavírus na França cresce pelo terceiro dia,Exame,neg
231,"Confinamento já salvou quase 60.000 vidas na Europa, diz estudo",Exame,neg
232,Adolescente de 12 anos morre vítima do coronavírus na Bélgica,Exame,neg
233,Itália registra 837 mortes por coronavírus e novos casos estabilizam,Exame,neg
234,"Em maior índice diário, Espanha registra 849 mortes por coronavírus",Exame,neg
235,"Com mais de 700.000 infectados, mundo espera chegar ao pico da pandemia",Exame,neg
236,Brasil tem 136 mortes pelo coronavírus e 4.256 casos confirmados,Exame,neg
237,"Sitiada pelo vírus, Madri vira cidade dos mortos",Exame,neg
238,Isolar só idosos eleva para 529 mil as mortes por coronavírus no Brasil,Exame,neg
239,"Infelizmente algumas mortes terão. Paciência, diz Bolsonaro sobre covid-19",Exame,neg
240,Não é uma escolha entre vidas e economia,Exame,neg
241,"Em pior dia desde começo da pandemia, Itália registra 969 mortes",Exame,neg
242,"Itália não chegou ao pico de contágio por coronavírus, diz chefe da Saúde",Exame,neg
243,Coronavírus no mundo: Espanha tem 769 mortes em um dia; Irã chega a 2.378,Exame,neg
244,Maestrina Naomi Munakata morre aos 64 anos por coronavírus,Exame,neg
245,Mortes por coronavírus na Itália aumentam 662 em um dia e chegam a 8.165,Exame,neg
246,Espanha supera os 4.000 mortos pelo coronavírus,Exame,neg
247,"Casos do novo coronavírus disparam nos EUA, e mortes passam de 1.000",Exame,neg
248,"Em parceria com empresas, SP terá 100 leitos em novo centro de atendimento",Exame,neg
249,Coronavírus: Itália registra 683 mortes em 24 horas; total chega a 7.503,Exame,neg
250,Espanha supera número de mortes da China por coronavírus,Exame,neg
251,EUA registram primeira morte de menor de idade por coronavírus,Exame,neg
252,Mortes por coronavírus na Itália têm nova alta e chegam a 743 em um dia,Exame,neg
253,Itália registra mais 602 mortes por coronavírus e já chega a 6.000 vítimas,Exame,neg
254,Médicos infectados e falta de recursos agravam coronavírus na Itália,Exame,neg
255,Coronavírus: mortes já chegam a 25 e só três não são em SP,Exame,neg
256,"Em um só dia, Itália registra mais 651 mortes por coronavírus",Exame,neg
257,Espanha tem 394 mortes em 1 dia e quer ampliar estado de emergência,Exame,neg
258,"Morre Lila Covas, viúva de Mário Covas e avó do prefeito de SP",Exame,neg
259,Fotos: Coronavírus esvazia ruas de SP e Rio e cria cenários-fantasma,Exame,neg
260,Número de mortos na Itália por coronavírus já ultrapassa os 4.000,Exame,neg
261,Falha em protocolo do Ministério da Saúde abre brecha para subnotificação,Exame,neg
262,Alemanha tem poucas mortes por coronavírus graças a exames precoces,Exame,neg
263,Parentes da 1ª vítima de coronavírus no país dizem que não são monitorados,Exame,neg
264,1ª vítima do coronavírus no Rio era doméstica e foi contaminada no Leblon,Exame,neg
265,EUA registram 154 mortes e mais de 10 mil casos de coronavírus,Exame,neg
266,Rio de Janeiro registra primeiras duas mortes por coronavírus,Exame,neg
267,"Exame de paciente que morreu em Niterói aponta coronavírus, diz prefeito",Exame,neg
268,"Número de mortos na Itália sobe 475, maior aumento registrado em um país",Exame,neg
269,Presidente do Santander Portugal morre em decorrência do coronavírus,Exame,neg
270,Paciente com suspeita de coronavírus morre em Niterói,Exame,neg
271,Coronavírus: paciente que morreu não estava em lista de casos confirmados,Exame,neg
272,"Bancos de sangue em São Paulo só duram mais uma semana, diz infectologista",Exame,neg
273,São Paulo registra primeira morte por coronavírus no Brasil,Exame,neg
274,Mortes por coronavírus na Itália crescem 25% em 24 horas; EUA registram 41,Exame,neg
275,Trump autoriza militares a responder ataque atribuído a milícia pró-Irã,Exame,neg
276,Por que ainda é difícil calcular quantas pessoas morrerão por Covid-19?,Exame,neg
277,"Mortes por coronavírus na Itália saltam 31% em um dia, e total vai a 827",Exame,neg
278,Coronavírus mata oito vezes mais na Itália do que na Coreia do Sul,Exame,neg
279,"Mortes por coronavírus na Itália saltam 36%, e nos EUA já chegam a 25",Exame,neg
280,EUA registram quase 500 casos de coronavírus; Itália confirma 463 mortes,Exame,neg
281,Morre mais uma pessoa após consumir cerveja contaminada da Backer,Exame,neg
282,"Com 164 mortos, chuvas deixam marca de destruição a moradores do Sudeste",Exame,neg
283,Número de novos casos de coronavírus volta a cair na China,Exame,neg
284,Casos de coronavírus no mundo chegam a 105 mil,Exame,neg
285,Argentina registra 1ª morte na América Latina pelo coronavírus,Exame,neg
286,Hotel com 70 pessoas em quarentena por coronavírus desaba na China,Exame,neg
287,Defesa Civil atualiza número de mortes após chuva na Baixada Santista,Exame,neg
288,China: número de novos casos de coronavírus cai para menos de 100 por dia,Exame,neg
289,Buscas por desaparecidos seguem na Baixada Santista; já são 32 mortos,Exame,neg
290,Pianista McCoy Tyner morre aos 81 anos,Exame,neg
291,Assassinatos aumentaram 178% no Ceará durante o mês de fevereiro,Exame,neg
292,Buscas por desaparecidos continuam na Baixada Santista; são 30 mortes,Exame,neg
293,Chuvas já mataram 28 pessoas na Baixada Santista,Exame,neg
294,"Morte por coronavírus é maior entre doentes crônicos, como hipertensos",Exame,neg
295,Morre aos 100 anos o ex-secretário-geral da ONU Pérez de Cuellar,Exame,neg
296,Número de mortos após chuvas na Baixada Santista sobe para 25,Exame,neg
297,Secretaria Nacional de Defesa Civil vai para Baixada Santista após chuvas,Exame,neg
298,Número de mortes pelo novo coronavírus na China chega a quase 3 mil,Exame,neg
299,Jornalista criador do Valor Econômico morre aos 67 anos,Exame,neg
300,Fortes tornados deixam ao menos 19 mortos e rastro de destruição nos EUA,Exame,neg
301,Fortes chuvas deixam ao menos 16 mortos e provocam destruição em SP,Exame,neg
302,Coronavírus mata 6 nos EUA e autoridades se preparam para mais casos,Exame,neg
303,A lição amarga de Jack Welch: o sucesso se mede no longo prazo,Exame,neg
304,"Jack Welch, ex-CEO da General Eletric, morre aos 84 anos",Exame,neg
305,Número de mortes por coronavírus chega a 2.788 na China,Exame,neg
306,"Campeão mundial pelo Grêmio, Valdir Espinosa morre aos 72 anos",Exame,neg
307,Da raiva à cólera: as doenças infecciosas que matam mais que o coronavírus,Exame,neg
308,"Proliferação de coronavírus é preocupante, mas não é pandemia, diz OMS",Exame,neg
309,Itália confirma 12ª morte por coronavírus e 50 novos casos,Exame,neg
310,Itália decreta toque de recolher por surto de Coronavírus,Exame,neg
311,Série sobre Zé do Caixão está disponível na íntegra no YouTube,Exame,neg
312,"Apesar de queda em casos de coronavírus, cresce temor de epidemia global",Exame,neg
313,Mortes pelo novo coronavírus ultrapassam 2.300 na China,Exame,neg
314,"Mundo precisa agir rápido para conter o coronavírus, diz diretor da OMS",Exame,neg
315,"China confirma 889 novos casos de coronavírus; mortes superam 2,2 mil",Exame,neg
316,Corpo de Adriano Nóbrega será submetido a nova necropsia nesta quinta,Exame,neg
317,Portugal analisa propostas para legalizar eutanásia,Exame,neg
318,"Epicentro, província de Hubei registra mais 108 mortes por coronavírus",Exame,neg
319,Dois passageiros de cruzeiro em quarentena morrem devido ao coronavírus,Exame,neg
320,"Morre José Mojica Marins, o Zé do Caixão, aos 83 anos",Exame,neg
321,Novos casos de coronavírus diminuem pelo 2º dia; mortes passam das 2.000,Exame,neg
322,"Morre menino soterrado em Osasco, oitava vítima das chuvas em SP",Exame,neg
323,"Número de mortes por coronavírus se aproxima de 1,9 mil na China",Exame,neg
324,"Homicídios diminuem 21,1% de janeiro a outubro no país",Exame,neg
325,Mais dois acusados pelas mortes na boate Kiss irão a júri popular,Exame,neg
326,Ataque contra igreja protestante deixa 24 mortos em Burkina Faso,Exame,neg
327,Cervejaria Becker tem bloqueio de até R$100 milhões pela Justiça,Exame,neg
328,Homicídios caem 19% e tem menor taxa da série iniciada em 2007,Exame,neg
329,Rio de Janeiro registra primeira morte por sarampo no século,Exame,neg
330,Coronavírus: China registra 1.380 mortos e 63 mil infectados,Exame,neg
331,Chuvas em SP: número de mortos sobe para 7,Exame,neg
332,China registra mais 242 mortes por coronavírus e quase 15 mil novos casos,Exame,neg
333,Chuvas em São Paulo: sobe para 5 número de mortes no estado,Exame,neg
334,Cai o número de casos diários de coronavírus no mundo,Exame,neg
335,Chuva no interior de São Paulo deixa ao menos 4 mortos; há 1 desaparecido,Exame,neg
336,"Mortes, desaparecidos e desabrigados: o balanço da chuva em SP",Exame,neg
337,Coronavírus: total de mortos na China continental sobe para 908,Exame,neg
338,Morre na China primeira estrangeira vítima do coronavírus,Exame,neg
339,Soldado abre fogo em shopping na Tailândia e mata ao menos 12 pessoas,Exame,neg
340,Número de mortes pelo novo coronavírus chega a 722 na China,Exame,neg
341,China registra 67 novas mortes por coronavírus e total já chega a 717,Exame,neg
342,Morte de médico que fez alerta sobre o coronavírus gera revolta na China,Exame,neg
343,China registra 69 novas mortes por coronavírus e total já chega a 630,Exame,neg
344,Médico chinês que alertou sobre coronavírus está em estado grave,Exame,neg
345,Secretaria instaura processo administrativo contra cervejaria Backer,Exame,neg
346,"Lenda de Hollywood, ator americano Kirk Douglas morre aos 103 anos",Exame,neg
347,Mortos por novo coronavírus somam 560,Exame,neg
348,Duas avalanches deixam quase 40 mortos na Turquia,Exame,neg
349,Mortos por novo coronavírus somam 490 na China,Exame,neg
350,Locutor Asa Branca morre aos 57 anos,Exame,neg
351,"Crítico literário e filósofo, George Steiner morre aos 90 anos",Exame,neg
352,Morre juiz argentino que investigava Cristina Kirchner,Exame,neg
